record_type,name,summary,definitive_status,status_confidence,user_problem,target_users,user_facing_behavior,functional_coverage,scope_boundaries,code_evidence,test_evidence,documentation_evidence,routes_components_services,data_and_schemas,flags_and_configuration,dependencies_and_integrations,known_limitations,related_features,related_explored_ideas,historical_names_or_aliases,runtime_status,runtime_evidence,last_verified_commit,last_verified_date
"feature","PIN setup, unlock, and sessions","PIN setup, unlock, and sessions as classified on current main.","Implemented","High for code/status; runtime confidence limited to the cited dated evidence","The single owner needs pin setup, unlock, and sessions as part of the private knowledge workflow.","Single AI Brain owner; contributors maintaining the capability","`/setup`, `/unlock`; primary entrypoint: `src/app/auth-actions.ts`.","`src/lib/auth.ts`; jobs/scripts: None.","Single-user design","`src/app/auth-actions.ts`; `src/lib/auth.ts`.","`src/lib/auth.test.ts` and UX v2 production evidence","Authentication-Sessions-and-Device-Pairing; Security-Privacy-and-Redaction","`/setup`, `/unlock`; `src/app/auth-actions.ts`; `src/lib/auth.ts`.","settings and session cookie","No dedicated feature flag identified; see Configuration Reference for shared settings","Next.js application, SQLite repositories and owning feature modules","Single-user design","Android/extension clients; Telegram; Notes; all protected routes","Trust Center; WebAuthn; per-device identity; multi-user","See Glossary; AI Brain UI may use AI Memory","Deployed-verified","`src/lib/auth.test.ts` and UX v2 production evidence; baseline 60d670741522a25db33545ee23fc2881774347e2.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"feature","Bearer auth, origins, API versions, and rotation","Bearer auth, origins, API versions, and rotation as classified on current main.","Implemented","High for code/status; runtime confidence limited to the cited dated evidence","The single owner needs bearer auth, origins, api versions, and rotation as part of the private knowledge workflow.","Single AI Brain owner; contributors maintaining the capability","Settings and API clients; primary entrypoint: rotate-token and protected API routes.","`src/lib/auth/bearer.ts`, `src/lib/auth/api-version.ts`; jobs/scripts: None.","Per-device token lifecycle is limited","rotate-token and protected API routes; `src/lib/auth/bearer.ts`, `src/lib/auth/api-version.ts`.","auth and API-version tests","Authentication-Sessions-and-Device-Pairing; Security-Privacy-and-Redaction","Settings and API clients; rotate-token and protected API routes; `src/lib/auth/bearer.ts`, `src/lib/auth/api-version.ts`.","`BRAIN_API_TOKEN` process environment and repository-root `.env`","Shared bearer, public origin, client storage and optional version/origin policy","Next.js application, SQLite repositories and owning feature modules","Per-device token lifecycle is limited","Android/extension clients; Telegram; Notes; all protected routes","Trust Center; WebAuthn; per-device identity; multi-user","See Glossary; AI Brain UI may use AI Memory","Deployed-verified","auth and API-version tests; baseline 60d670741522a25db33545ee23fc2881774347e2.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"feature","Library browsing, filters, and selection","Library browsing, filters, and selection as classified on current main.","Implemented","High for code/status; runtime confidence limited to the cited dated evidence","The single owner needs library browsing, filters, and selection as part of the private knowledge workflow.","Single AI Brain owner; contributors maintaining the capability","`/library`; primary entrypoint: `src/app/actions.ts`.","library and item modules; jobs/scripts: None.","No saved searches or rule-based smart filters","`src/app/actions.ts`; library and item modules.","library selection and scope tests","Feature-Catalog; Product-Overview","`/library`; `src/app/actions.ts`; library and item modules.","items, tags, topics, collections","No dedicated feature flag identified; see Configuration Reference for shared settings","Next.js application, SQLite repositories and owning feature modules","No saved searches or rule-based smart filters","Library; Capture; Organization; Retrieval","See Ideas and Exploration Catalog","See Glossary; AI Brain UI may use AI Memory","Deployed-verified","library selection and scope tests; baseline 60d670741522a25db33545ee23fc2881774347e2.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"feature","Item detail and Markdown/ZIP export","Item detail and Markdown/ZIP export as classified on current main.","Implemented","High for code/status; runtime confidence limited to the cited dated evidence","The single owner needs item detail and markdown/zip export as part of the private knowledge workflow.","Single AI Brain owner; contributors maintaining the capability","`/items/[id]`, Library; primary entrypoint: item export and library export routes.","item and export handlers; jobs/scripts: ZIP generation in request.","Large-library export limits are not benchmarked","item export and library export routes; item and export handlers.","route and production UX evidence","Feature-Catalog; Product-Overview","`/items/[id]`, Library; item export and library export routes; item and export handlers.","items and related taxonomy","No dedicated feature flag identified; see Configuration Reference for shared settings","Next.js application, SQLite repositories and owning feature modules","Large-library export limits are not benchmarked","Library; Capture; Organization; Retrieval","See Ideas and Exploration Catalog","See Glossary; AI Brain UI may use AI Memory","Deployed-verified","route and production UX evidence; baseline 60d670741522a25db33545ee23fc2881774347e2.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"feature","Per-item private Markdown notes","Per-item private Markdown notes as classified on current main.","Feature-flagged","High for code/status; runtime confidence limited to the cited dated evidence","The single owner needs per-item private markdown notes as part of the private knowledge workflow.","Single AI Brain owner; contributors maintaining the capability","`/items/[id]` editor and preview; primary entrypoint: `/api/items/[id]/note`, versions, restore, AI policy, and export routes.","note state, revision, search, retrieval, related, consent, and worker modules; jobs/scripts: opt-in semantic indexing and guarded vector audit/repair.","UI/write/indexing are rollout-controlled; remote AI also requires provider acknowledgement","`/api/items/[id]/note`, versions, restore, AI policy, and export routes; note state, revision, search, retrieval, related, consent, and worker modules.","814-test release gate, browser design QA, adversarial disposition, production lifecycle and Focus smoke","Manual-Content-Notes; Configuration-Reference","`/items/[id]` editor and preview; `/api/items/[id]/note`, versions, restore, AI policy, and export routes; note state, revision, search, retrieval, related, consent, and worker modules.","note state/revisions, FTS, source-aware chunks, vectors, jobs, and eligible chat citations","Attached-note UI/write/processing/Focus flags and per-note/provider-consent settings where applicable","Next.js application, SQLite repositories and owning feature modules","UI/write/indexing are rollout-controlled; remote AI also requires provider acknowledgement","Item detail; Search/Ask/Related; Provider consent; Focus","Rich editor/history; backlinks; synthesis; learning; annotations","Manual content note / My notes / attached note; distinguish standalone note capture","Deployed-verified","814-test release gate, browser design QA, adversarial disposition, production lifecycle and Focus smoke; baseline 6858529ef179a51442d319c6c58e5ace79757619.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"feature","Global note AI default","Global note AI default as classified on current main.","Feature-flagged","High for code/status; runtime confidence limited to the cited dated evidence","The single owner needs global note ai default as part of the private knowledge workflow.","Single AI Brain owner; contributors maintaining the capability","Settings and first-save/recreation note flow; primary entrypoint: `/api/settings/note-ai-default`.","note AI preference and provider policy; jobs/scripts: note worker after eligible save.","Parent note flags control reachability; off by default and non-retroactive","`/api/settings/note-ai-default`; note AI preference and provider policy.","setting/policy tests and production Settings smoke","Manual-Content-Notes; Configuration-Reference","Settings and first-save/recreation note flow; `/api/settings/note-ai-default`; note AI preference and provider policy.","settings and per-note policy","Attached-note UI/write/processing/Focus flags and per-note/provider-consent settings where applicable","Next.js application, SQLite repositories and owning feature modules","Parent note flags control reachability; off by default and non-retroactive","Item detail; Search/Ask/Related; Provider consent; Focus","Rich editor/history; backlinks; synthesis; learning; annotations","Manual content note / My notes / attached note; distinguish standalone note capture","Deployed-verified","setting/policy tests and production Settings smoke; baseline 6858529ef179a51442d319c6c58e5ace79757619.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"feature","Note Focus Mode","Note Focus Mode as classified on current main.","Feature-flagged","High for code/status; runtime confidence limited to the cited dated evidence","The single owner needs note focus mode as part of the private knowledge workflow.","Single AI Brain owner; contributors maintaining the capability","My notes Focus control and history marker; primary entrypoint: existing item/note routes; presentation-only history.","focus history, isolation, session hook, manual editor; jobs/scripts: no new worker.","Physical Android keyboard/TalkBack, real AT speech, and deterministic native undo remain unverified","existing item/note routes; presentation-only history; focus history, isolation, session hook, manual editor.","814-test gate, production-build browser matrix, guarded production enable/smoke","Manual-Content-Notes; Configuration-Reference","My notes Focus control and history marker; existing item/note routes; presentation-only history; focus history, isolation, session hook, manual editor.","no new persistent data","Attached-note UI/write/processing/Focus flags and per-note/provider-consent settings where applicable","Next.js application, SQLite repositories and owning feature modules","Physical Android keyboard/TalkBack, real AT speech, and deterministic native undo remain unverified","Item detail; Search/Ask/Related; Provider consent; Focus","Rich editor/history; backlinks; synthesis; learning; annotations","Manual content note / My notes / attached note; distinguish standalone note capture","Deployed-verified","814-test gate, production-build browser matrix, guarded production enable/smoke; baseline 6858529ef179a51442d319c6c58e5ace79757619.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"feature","Manual note capture","Manual note capture as classified on current main.","Implemented","High for code/status; runtime confidence limited to the cited dated evidence","The single owner needs manual note capture as part of the private knowledge workflow.","Single AI Brain owner; contributors maintaining the capability","`/capture`, `/items/new`; primary entrypoint: note capture route and capture actions.","capture result and item DB modules; jobs/scripts: enrichment queue after save.","None known","note capture route and capture actions; capture result and item DB modules.","capture route tests and Android note-share evidence","Capture-and-Ingestion; Capture-Quality-Review-and-Repair; client/integration feature page","`/capture`, `/items/new`; note capture route and capture actions; capture result and item DB modules.","items and capture source","Attached-note UI/write/processing/Focus flags and per-note/provider-consent settings where applicable","Next.js application, SQLite repositories and owning feature modules","None known","Quality/Review/Repair; Enrichment; Search/Ask; clients/integrations","Repair Center; Reading Studio; additional formats/OCR; offline capture","Manual content note / My notes / attached note; distinguish standalone note capture","Deployed-verified","capture route tests and Android note-share evidence; baseline 60d670741522a25db33545ee23fc2881774347e2.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"feature","URL and article capture","URL and article capture as classified on current main.","Implemented","High for code/status; runtime confidence limited to the cited dated evidence","The single owner needs url and article capture as part of the private knowledge workflow.","Single AI Brain owner; contributors maintaining the capability","`/capture`, extension, Android share; primary entrypoint: URL capture route.","capture URL, Readability, metadata helpers; jobs/scripts: enrichment after capture.","Some sites remain metadata-only","URL capture route; capture URL, Readability, metadata helpers.","capture tests and production URL fixture evidence","Capture-and-Ingestion; Capture-Quality-Review-and-Repair; client/integration feature page","`/capture`, extension, Android share; URL capture route; capture URL, Readability, metadata helpers.","items, artifacts, metadata cache","No dedicated feature flag identified; see Configuration Reference for shared settings","Next.js application, SQLite repositories and owning feature modules","Some sites remain metadata-only","Quality/Review/Repair; Enrichment; Search/Ask; clients/integrations","Repair Center; Reading Studio; additional formats/OCR; offline capture","See Glossary; AI Brain UI may use AI Memory","Deployed-verified","capture tests and production URL fixture evidence; baseline 60d670741522a25db33545ee23fc2881774347e2.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
"feature","Browser-selected text capture","Browser-selected text capture as classified on current main.","Implemented","High for code; Medium/Low for runtime as stated","The single owner needs browser-selected text capture as part of the private knowledge workflow.","Single AI Brain owner; contributors maintaining the capability","Extension context capture; primary entrypoint: URL capture route.","selected-text and extension capture modules; jobs/scripts: enrichment after capture.","Unified on current main","URL capture route; selected-text and extension capture modules.","main-branch selected-text tests","Capture-and-Ingestion; Capture-Quality-Review-and-Repair; client/integration feature page","Extension context capture; URL capture route; selected-text and extension capture modules.","items and capture artifacts","No dedicated feature flag identified; see Configuration Reference for shared settings","Next.js application, SQLite repositories and owning feature modules","Unified on current main","Quality/Review/Repair; Enrichment; Search/Ask; clients/integrations","Repair Center; Reading Studio; additional formats/OCR; offline capture","See Glossary; AI Brain UI may use AI Memory","Unknown","main-branch selected-text tests; baseline 23868faf13c8e3d0821715e6f5d0e3d2af1e1a34.","23868faf13c8e3d0821715e6f5d0e3d2af1e1a34","2026-07-11"
