id,design_artifact,shown_state_or_requirement,implied_behavior,classification,mapped_artifact,confidence,decision_needed,owner
DOC-WEB-01,docs/AI_MEMORY_WEB_APP_SCREEN_AND_INTERACTION_SPEC.md global shell,Collapsible left nav active state Capture Needs Upgrade AI Memory identity,Web shell must be verified before more feature work,Partial/verification-gated,"PRD-11-SHELL; 06_ROADMAP Phase 1",High,No,Implementation agent
DOC-WEB-02,docs/AI_MEMORY_WEB_APP_SCREEN_AND_INTERACTION_SPEC.md login/pairing,"Login unlock setup PIN pair device session expired offline fallback",Entry states need trust-aware copy and state handling,Partial/Missing,PRD-15,High,QR/session details,Arun/Product
DOC-WEB-03,docs/AI_MEMORY_WEB_APP_SCREEN_AND_INTERACTION_SPEC.md Library,"Search source/quality filters multi-select Ask selected",Library is mostly implemented but needs fresh evidence,Existing/QA-gated,"Feature inventory LIB rows; PRD-16",High,No,Implementation agent
DOC-WEB-04,docs/AI_MEMORY_WEB_APP_SCREEN_AND_INTERACTION_SPEC.md Needs Upgrade,Weak states and repair actions,Queue exists repair workflow missing,Partial,PRD-10,High,Mark-good-enough semantics,Arun/Product
DOC-WEB-05,docs/AI_MEMORY_WEB_APP_SCREEN_AND_INTERACTION_SPEC.md Item Detail,"Right rail source details topics collections focus mode",Web detail mostly exists Android tabs separate,Partial,"PRD-11-FU; YT-01",High,Android tabs split,Arun/Product
DOC-WEB-06,docs/AI_MEMORY_WEB_APP_SCREEN_AND_INTERACTION_SPEC.md Ask,"History rail scope banner citations limited warnings",Attached context and high-quality-only remain missing,Partial/Missing,PRD-09-FU,High,Attachment model,Arun/Product
DOC-WEB-07,docs/AI_MEMORY_WEB_APP_SCREEN_AND_INTERACTION_SPEC.md Capture,"URL PDF note paste text result states",Canonical result contract is required,Partial,"PRD-06-FU; EXT-01",High,No,Implementation agent
DOC-WEB-08,docs/AI_MEMORY_WEB_APP_SCREEN_AND_INTERACTION_SPEC.md Topic/Collection,"Topic detail collection detail scoped Ask",Existing behavior needs fresh QA evidence,Existing/QA-gated,"PRD-16; feature inventory TAX/COLL rows",Medium,No,Implementation agent
DOC-WEB-09,docs/AI_MEMORY_WEB_APP_SCREEN_AND_INTERACTION_SPEC.md Settings,"Privacy provider backup/export offline",Trust/privacy/offline copy must not overclaim,Partial,PRD-14,High,Offline control scope,Arun/Product
DOC-ANDROID-01,docs/AI_MEMORY_ANDROID_APP_SCREEN_AND_INTERACTION_SPEC.md shell,Bottom nav Library/Capture/Ask/More route-aware Capture,Mobile shell must be smoked before next code slice,Partial/verification-gated,PRD-11-SHELL,High,More route Capture behavior,Arun/Product
DOC-ANDROID-02,docs/AI_MEMORY_ANDROID_APP_SCREEN_AND_INTERACTION_SPEC.md login,"Pairing offline fallback session expired",Android entry needs device/emulator evidence,Partial/Missing,PRD-15,High,QR scanning scope,Arun/Product
DOC-ANDROID-03,docs/AI_MEMORY_ANDROID_APP_SCREEN_AND_INTERACTION_SPEC.md Library,"Compact filters select mode Needs Upgrade",Mobile Library exists long press not verified,Partial,PRD-11-FU,High,Android tabs split,Arun/Product
DOC-ANDROID-04,docs/AI_MEMORY_ANDROID_APP_SCREEN_AND_INTERACTION_SPEC.md Capture/share,"Save URL note PDF paste text share result states",Share capture needs durable result surface,Partial/Missing,"PRD-06-FU; PRD-13",High,Multi-PDF policy,Arun/Product
DOC-ANDROID-05,docs/AI_MEMORY_ANDROID_APP_SCREEN_AND_INTERACTION_SPEC.md Item detail,Original/Digest/Ask/Related/Details tabs,Generic responsive detail is insufficient if tabs are in scope,Missing/decision-gated,PRD-11-FU,High,Include tabs now or split,Arun/Product
DOC-ANDROID-06,docs/AI_MEMORY_ANDROID_APP_SCREEN_AND_INTERACTION_SPEC.md Ask,"Unified composer add context sheets history sheet",Depends on PRD-09 effective scope model,Missing,PRD-12,High,Attachment model,Arun/Product
DOC-ANDROID-07,docs/AI_MEMORY_ANDROID_APP_SCREEN_AND_INTERACTION_SPEC.md More/settings,"Account capture settings data/privacy offline",More/settings must share trust posture,Partial,PRD-14,High,Offline controls,Arun/Product
DOC-STATE-01,docs/AI_MEMORY_INTERACTION_AND_STATE_SPEC.md Ask scope rules,Attached context overrides route scope,Requires persisted effective scope,Missing,PRD-09-FU,High,Snapshot vs dynamic history,Arun/Product
DOC-STATE-02,docs/AI_MEMORY_INTERACTION_AND_STATE_SPEC.md capture result rules,"Every result states status source captured via quality next action",Generic success is not enough,Partial,"PRD-06-FU; PRD-13",High,No,Implementation agent
DOC-STATE-03,docs/AI_MEMORY_INTERACTION_AND_STATE_SPEC.md privacy states,"Coming soon disabled controls no E2EE claim",Trust copy is release-critical,Partial,"PRD-14; PRD-16",High,No,Implementation agent
DOC-DATA-01,docs/AI_MEMORY_DATA_CONTENT_AND_STATE_MODEL.md source/conversation/capture state,"Source conversation Ask capture privacy fields",Data model needs explicit scope/repair choices,Partial/Missing,"PRD-09-FU; PRD-10; PRD-14",High,Multiple,Arun/Product
DOC-PARITY-01,docs/AI_MEMORY_FEATURE_PARITY_AND_SCOPE_MATRIX.md platform parity,"Web workbench Android companion",Parity is conceptual not identical UI,Planning rule,"Roadmap; all feature packages",High,No,Implementation agent
SS-WEB-01,screenshots/web/desktop-library.png,Desktop Library,Visual/reference for Library filters and rows,Existing/QA-gated,"LIB rows; DS-01",Medium,No,Implementation agent
SS-WEB-02,screenshots/web/desktop-item-youtube.png,Desktop YouTube item detail,YouTube detail may need media metadata polish,Partial,"YT-01; PRD-11-FU",Medium,Thumbnail/player decision,Arun/Product
SS-WEB-03,screenshots/web/desktop-item-focus.png,Desktop focus/read mode,Focus must hide secondary UI and handle weak content,Partial/QA-gated,"PRD-11-FU; PRD-16",Medium,No,Implementation agent
SS-WEB-04,screenshots/web/desktop-ask.png,Desktop Ask new conversation,Scope banner and history model must be truthful,Partial,PRD-09-FU,Medium,Attachment model,Arun/Product
SS-WEB-05,screenshots/web/desktop-ask-conversation.png,Desktop restored conversation,History restore must preserve scope and citations,Partial/Missing,PRD-09-FU,Medium,Snapshot semantics,Arun/Product
SS-WEB-06,screenshots/web/desktop-capture.png,Desktop Capture,Paste URL/PDF/note/text and result states,Partial,PRD-06-FU,Medium,No,Implementation agent
SS-WEB-07,screenshots/web/desktop-settings.png,Desktop Settings,Privacy/offline/provider sections,Partial,PRD-14,Medium,Offline controls,Arun/Product
SS-WEB-08,screenshots/web/desktop-login.png,Desktop Login,AI Memory entry branding and trust copy,Partial,PRD-15,Medium,No,Implementation agent
SS-ANDROID-01,screenshots/android/mobile-library.png,Mobile Library,"Compact filters select mode bottom nav",Partial,"PRD-11-SHELL; PRD-11-FU",Medium,Long press/tabs,Arun/Product
SS-ANDROID-02,screenshots/android/mobile-item-youtube.png,Mobile YouTube item detail,Android tabs/media treatment implied,Missing/decision-gated,"PRD-11-FU; YT-01",Medium,Tabs and player scope,Arun/Product
SS-ANDROID-03,screenshots/android/mobile-item-focus.png,Mobile focus/read mode,Bottom nav/tabs hidden in focus,Partial,"PRD-11-FU; PRD-16",Medium,No,Implementation agent
SS-ANDROID-04,screenshots/android/mobile-ask.png,Mobile Ask composer,"Unified composer add context history sheet",Missing,PRD-12,Medium,Attachment model,Arun/Product
SS-ANDROID-05,screenshots/android/mobile-capture.png,Mobile Capture,Capture result states and quick input,Partial,"PRD-06-FU; PRD-13",Medium,No,Implementation agent
