rank,repository,current_head,license_signal,stars,forks,pushed_at_utc,archived,validated_snapshot,head_delta,selected_reuse,out_of_scope_or_rejected,decision
1,searchpcc/tube2md,716654f362ede7589ad2237fe32f374cb9af9210,MIT,1,0,2026-04-27T06:21:20Z,false,716654f362ed,same,"dual-renderer DOM selectors; parser fixtures; text normalization","auto-open behavior; product formatting; persistent YouTube host access",preferred_reference
2,BitYoungjae/just-copy-subtitles-for-youtube,98adb0046c87c0486750f1cd88faefd0bd5770b3,MIT,1,0,2026-06-30T10:12:57Z,false,98adb0046c87,same,"typed track and provenance models; focused tests","MAIN-world player access; credentialed timedtext; PoToken/session path",selective_reference
3,yniijia/subtidex,8738fa47fdc742477e3d59766b222509062e49ca,MIT,5,0,2026-06-29T14:29:18Z,false,8738fa47fdc7,same,"virtualized-panel traversal; renderer diagnostics","mixed player/caption-fetch fallbacks; monolithic untested source",selective_reference
4,ANcpLua/yt-transcript,3be44284cc19002b2774804ab0e6d2b9b0b299ff,MIT,0,0,2026-07-22T12:31:25Z,false,06dd00df2954,"4 commits ahead; build/lint/3 manifest tests pass; 4 high audit findings","MV3 build and harness concepts; manifest tests","continuous interception; alternate clients; live cookie-seeded browser script; audio/ASR/AI scope",reference_only
5,labib2002/Briefly,2ddf8eeb57d058891ea7ded3efbbe5bf72c78788,MIT,4,0,2026-07-10T20:45:18Z,false,2ddf8eeb57d0,same,"typed errors; health signals; kill-switch concepts","hidden queue tabs; broad permissions; remote selectors; dependency baseline",reference_only
6,ryanbiddy/uoink,97f4e99351fb452d326de0ca8ff7dffb48599966,MIT,0,0,2026-07-20T10:01:12Z,false,not_empirically_exercised,current,"fixed-origin companion-to-service handoff; receipt/retry concepts","multi-site PKM/MCP product; local helper daemon; broad clipping scope",selective_reference
7,dpolivaev/video-chapters-extension,73e6d010ff829e97c89ff1c97a53fd771393c3e9,"GPL-3.0 identified in source; GitHub API NOASSERTION",3,0,2025-12-18T21:46:53Z,false,73e6d010ff82,same,"test architecture and observable behavior","code copying without license/distribution review; older selectors; AI-provider scope",patterns_only
8,lifesized/youtube-transcriber,48f278c38cce5a4a69d3eab5f4a24ac88dd9b8ad,AGPL-3.0,24,4,2026-07-21T14:44:29Z,false,not_empirically_exercised,current,"full companion/self-hosted system behavior","code copying without license review; native messaging; cloud/ASR; broad permissions",patterns_only
9,krishnakanthb13/yt-transcript-studio,0ccbfa4112aa93a81b16b80380cf2dd2fd5a56aa,GPL-3.0,0,0,2026-06-17T14:11:43Z,false,0ccbfa4112aa,same,"side-panel UX and parser/formatter test ideas","code copying without license/distribution review",patterns_only
10,jingsu96/linear-web-clipper,c89f5364f151dd996baa47b96c5fef882b3ba03e,MIT,4,3,2026-02-22T19:31:52Z,false,not_empirically_exercised,current,"explicit confirmation and external-service handoff concepts","all_urls; persistent generic content-script access",reference_only
