capability_id,capability,implementation_status,implementation_confidence,entry_or_gate_status,entry_or_gate_confidence,external_readiness_status,external_readiness_confidence,runtime_evidence_status,runtime_confidence,value_evidence_status,value_confidence,verified_date
F01,PIN setup unlock session,Implemented,High,Direct browser entry,High,Host session and configured PIN required,High,Dated production evidence not freshly probed,Medium,Unknown,Low,2026-07-12
F02,Bearer API auth,Implemented,High,Protected API entry,High,Configured shared token required,High,Code tests and dated runtime evidence,High,Unknown,Low,2026-07-12
F03,Device pairing and token rotation,Implemented,High,Settings and setup APK entries,High,Host token and client state required,High,Code tests and dated runtime evidence,High,Unknown,Low,2026-07-12
F04,Shell navigation theme,Implemented,High,Direct product entry with gated Processing item,High,Browser and device behavior required,High,Code and tests only in this audit,High,Unknown,Low,2026-07-12
F05,Library browse filter select,Implemented,High,Direct product entry,High,No external provider required,High,Code tests and historical runtime evidence,High,Unknown,Low,2026-07-12
F06,Bulk tag collect delete,Implemented,High,Browser-session action,High,No external provider required,High,Code and tests only in this audit,High,Unknown,Low,2026-07-12
F07,Item detail and source Focus,Implemented,High,Direct product entry,High,Some panels depend on index and provider readiness,High,Code tests and historical runtime evidence,High,Unknown,Low,2026-07-12
F08,Item and library export,Implemented,High,Direct product routes,High,Filesystem and browser download behavior required,High,Code and tests only in this audit,High,Unknown,Low,2026-07-12
F09,Note capture,Implemented,High,Direct Capture entry,High,Queue and storage required after write,High,Code tests and historical runtime evidence,High,Unknown,Low,2026-07-12
F10,URL article selected-text capture,Implemented,High,Web and private-client entries,High,Remote source accessibility varies,High,Code tests and historical runtime evidence,High,Unknown,Low,2026-07-12
F11,YouTube capture and recovery,Implemented with inactive adapters,High,Capture repair and worker entries,High,Network and transcript source availability vary,High,Code tests and historical runtime evidence,High,Unknown,Low,2026-07-12
F12,PDF capture,Implemented,High,Direct Capture and Android share entries,High,Local parser and file input required,High,Code and tests only in this audit,High,Unknown,Low,2026-07-12
F13,Owned-media speech to text,Inactive,High,Route deliberately unavailable,High,Provider absent,High,Negative route and provider tests,High,Unknown,Low,2026-07-12
F14,Capture result quality provenance,Partially implemented,High,Channel-specific result surfaces,High,Source and client behavior vary,High,Code tests and historical runtime evidence,High,Unknown,Low,2026-07-12
F15,Needs Upgrade repair Review,Implemented,High,Needs Upgrade and item repair direct; Review non-primary,High,Transcript and source recovery vary,High,Code and tests; Review runtime not freshly probed,Medium,Unknown,Low,2026-07-12
F16,Android extension Telegram clients,Implemented,High,Private client entries,High,Client install distribution and chat state vary,Medium,Code tests and dated client evidence,Medium,Unknown,Low,2026-07-12
F17,Recall scheduled import,Implemented host-dependent,High,Operator timer entry,High,Recall credentials host and timer required,High,Historical production evidence not freshly probed,Medium,Unknown,Low,2026-07-12
F18,Recall manual Sync now,Feature-flagged,High,Settings plus trusted worker with three gates,High,Recall credentials host units and worker identity required,High,Merged code and protected CI; host state Unknown,High,Unknown,Low,2026-07-12
F19,Enrichment summaries taxonomy,Implemented,High,Automatic queue and retry entry,High,Configured model provider and queue required,High,Code tests and historical runtime evidence,High,Unknown,Low,2026-07-12
F20,Provider abstraction and health,Implemented,High,Settings and AI-path entry,High,Provider key quota network and service health required,High,Code tests; current provider health Unknown,Medium,Unknown,Low,2026-07-12
F21,Categories,Implemented,High,Generated item field,High,Enrichment provider required for generated value,High,Code and tests only in this audit,High,Unknown,Low,2026-07-12
F22,Manual and auto tags,Implemented,High,Item settings and bulk entries,High,Provider required only for auto generation,High,Code tests and historical runtime evidence,High,Unknown,Low,2026-07-12
F23,AI topics,Implemented semantically limited,High,Topic pages item and Processing filters,High,Enrichment provider required for generated membership,High,Code and tests; current provider health Unknown,High,Unknown,Low,2026-07-12
F24,Collections,Implemented,High,Collection pages settings item and bulk entries,High,No external provider required,High,Code tests and historical runtime evidence,High,Unknown,Low,2026-07-12
F25,Full-text search,Implemented,High,Search page and API entry,High,SQLite FTS readiness required,High,Code tests and historical runtime evidence,High,Unknown,Low,2026-07-12
F26,Semantic and hybrid search,Implemented,High,Search mode and API entry,High,Vector index embedding provider and current generation required,High,Code tests; current index and provider health Unknown,Medium,Unknown,Low,2026-07-12
