category,repository,github_url,primary_language,license,stars_2026_07_22,activity_snapshot,ai_brain_role,directional_fit_100,disposition,notes
focused_library,jdepoix/youtube-transcript-api,https://github.com/jdepoix/youtube-transcript-api,Python,MIT,7948,pushed 2026-05,mature behavior oracle or Python sidecar,82,candidate,"Best-established focused implementation; unofficial YouTube path; cloud blocking risk"
focused_library,ericmmartin/youtube-transcript-plus,https://github.com/ericmmartin/youtube-transcript-plus,TypeScript,"MIT in package; GitHub not detected",150,pushed 2026-03,primary in-process Node research adapter,85,candidate,"Typed errors; track provenance; retries; abort; cache hooks; live text normalization differed from oracle"
focused_library,devhims/youtube-caption-extractor,https://github.com/devhims/youtube-caption-extractor,TypeScript,MIT,156,pushed 2026-07,lightweight Node shadow adapter,80,candidate,"Live output matched Python oracle; requested language can fall back to first track"
focused_library,Kakulukian/youtube-transcript,https://github.com/Kakulukian/youtube-transcript,TypeScript,"MIT in package; GitHub not detected",576,pushed 2026-04,popular minimal Node comparison,65,secondary,"High npm use and live pass; no tests or CI found; recurring production issues"
focused_library,trldvix/youtube-transcript-api,https://github.com/trldvix/youtube-transcript-api,Java,MIT,41,pushed 2026-07,Java service alternative,72,candidate_for_java,"Tests and workflows present; cross-runtime cost for AI Brain"
focused_library,horiagug/youtube-transcript-api-go,https://github.com/horiagug/youtube-transcript-api-go,Go,MIT,22,pushed 2026-03,Go service alternative,61,secondary,"Small ecosystem"
focused_library,0x6a69616e/youtube-transcript-api,https://github.com/0x6a69616e/youtube-transcript-api,JavaScript,MIT,97,pushed 2025-06,alternative Node implementation,55,secondary,"Less current evidence than the leading Node packages"
focused_library,BobLd/youtube-transcript-api-sharp,https://github.com/BobLd/youtube-transcript-api-sharp,C#,MIT,27,stale since 2021,.NET historical implementation,35,deprioritize,"Stale"
focused_library,vietanhdang/youtube-transcript-api-sharp,https://github.com/vietanhdang/youtube-transcript-api-sharp,C#,MIT,1,active 2026,.NET implementation,48,secondary,"Active but negligible adoption"
focused_library,akinsella/yt-transcript-rs,https://github.com/akinsella/yt-transcript-rs,Rust,MIT,8,active at snapshot,Rust implementation,46,secondary,"Small evidence base"
focused_library,rudrodip/ytranscript,https://github.com/rudrodip/ytranscript,Rust,MIT,7,stale since 2024,Rust implementation,32,deprioritize,"Stale"
focused_library,xamgore/youtube-captions,https://github.com/xamgore/youtube-captions,Rust,not detected,12,stale since 2023,Rust caption implementation,25,deprioritize,"No detected license and stale"
focused_library,MrMySQL/youtube-transcript,https://github.com/MrMySQL/youtube-transcript,PHP,not detected,20,pushed 2026-05,PHP implementation,40,deprioritize,"No detected license"
